UKPRN,Provider Name,Provider Type,Completions 13/14,Bottom Quintile 13/14,Second Quintile 13/14,Third Quintile 13/14,Fourth Quintile 13/14,Top Quintile 13/14,Completions 14/15,Bottom Quintile 14/15,Second Quintile 14/15,Third Quintile 14/15,Fourth Quintile 14/15,Top Quintile 14/15,Completions 15/16,Bottom Quintile 15/16,Second Quintile 15/16,Third Quintile 15/16,Fourth Quintile 15/16,Top Quintile 15/16
10000944,BROCKENHURST COLLEGE,General FE College incl Tertiary,2500,2,14,11,27,47,2160,3,0,66,3,28,1320,10,15,3,50,23
10000948,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION,General FE College incl Tertiary,3030,15,21,33,26,6,3230,8,20,29,21,23,2200,21,23,9,35,12
10003987,BROMLEY LONDON BOROUGH COUNCIL,Other Public Funded,1740,28,21,48,0,2,1400,14,21,0,63,3,830,8,37,13,32,11
10000950,BROOKLANDS COLLEGE,General FE College incl Tertiary,1970,14,26,25,23,13,1650,32,8,26,27,6,2010,35,30,13,9,13
10039535,BROOKS & KIRK LIMITED,Private Sector Public Funded,.,.,.,.,.,.,20,0,0,0,0,100,20,0,0,0,100,0
10048409,BRS EDUCATION LIMITED,Private Sector Public Funded,.,.,.,.,.,.,.,.,.,.,.,.,60,0,0,0,52,48
10000488,B-SKILL LIMITED,Private Sector Public Funded,1070,91,0,0,0,9,1100,66,25,5,5,0,1040,85,7,0,3,4
10000976,BUCKINGHAMSHIRE COUNTY COUNCIL,Other Public Funded,2470,13,29,20,8,31,2130,21,23,25,1,30,1360,1,24,47,6,22
10009063,BUILDING CRAFTS COLLEGE,Other Public Funded,80,13,0,38,0,49,50,0,22,50,28,0,50,0,0,47,22,31
10000984,BUILDING ENGINEERING SERVICES TRAINING LIMITED,Private Sector Public Funded,300,0,13,4,32,51,200,0,0,32,56,13,160,0,0,94,0,6
10001000,BURNLEY COLLEGE,General FE College incl Tertiary,2190,29,12,17,27,15,1820,32,3,39,8,18,1660,26,4,26,38,7
10001004,BURTON AND SOUTH DERBYSHIRE COLLEGE,General FE College incl Tertiary,2790,9,25,9,7,50,2320,15,12,26,1,46,1700,3,15,34,10,38
10001005,BURY COLLEGE,General FE College incl Tertiary,2880,12,23,29,9,27,2250,19,17,8,10,45,1920,13,18,14,21,34
10001008,BURY METROPOLITAN BOROUGH COUNCIL,Other Public Funded,1410,35,20,8,37,0,1270,24,19,4,48,5,770,18,21,12,21,28
10023403,BUSINESS IMPACT UK LIMITED,Private Sector Public Funded,730,37,17,2,13,30,330,17,0,0,68,15,.,.,.,.,.,.
10001055,BUSINESS MANAGEMENT RESOURCES (UK) LTD,Private Sector Public Funded,120,63,0,37,0,0,100,74,0,0,15,12,180,55,7,10,0,27
10030637,BUSY BEES NURSERIES LIMITED,Private Sector Public Funded,170,54,0,0,46,0,190,49,0,0,0,51,350,32,6,18,0,43
10008135,BUZZ LEARNING LIMITED,Private Sector Public Funded,x,x,x,x,x,x,x,x,x,x,x,x,10,100,0,0,0,0
